Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\IMG\robocam_2018_09_19_18_49_57_981.jpg;0;0;0;3.238201;117.7484;99.68051;0.1249837;24.6046;0.0101095
D:\IMG\robocam_2018_09_19_18_49_58_061.jpg;0;0;0;3.223998;117.9784;99.78547;359.8764;24.59637;0.01415491
D:\IMG\robocam_2018_09_19_18_49_58_133.jpg;0;0;0;3.209379;118.151;99.86411;359.7321;24.58662;-0.001486516
D:\IMG\robocam_2018_09_19_18_49_58_218.jpg;0;0;0;3.198108;118.4376;99.99529;359.5343;24.58654;0.0003254586
D:\IMG\robocam_2018_09_19_18_49_58_301.jpg;0;0;0;3.17928;118.6665;100.0999;359.424;24.58529;-0.0009133171
D:\IMG\robocam_2018_09_19_18_49_58_393.jpg;0;0.251079;0;3.164128;118.8957;100.2048;359.3651;24.58455;-0.001529176
D:\IMG\robocam_2018_09_19_18_49_58_476.jpg;0;0.5253674;0;3.164058;119.1856;100.3375;359.4311;24.58482;0.001016948
D:\IMG\robocam_2018_09_19_18_49_58_553.jpg;0;0.7743397;0;3.187173;119.3623;100.4182;359.5441;24.58483;0.002210876
D:\IMG\robocam_2018_09_19_18_49_58_634.jpg;0;1;0;3.213096;119.6633;100.556;359.8884;24.58482;0.003842172
D:\IMG\robocam_2018_09_19_18_49_58_719.jpg;0;1;0;3.275861;119.9101;100.6689;0.2798533;24.58479;0.004819582
D:\IMG\robocam_2018_09_19_18_49_58_806.jpg;0;1;0;3.327149;120.1614;100.7837;0.7099299;24.58126;-0.001109644
D:\IMG\robocam_2018_09_19_18_49_58_895.jpg;0;1;0;3.378884;120.4806;100.9292;1.216779;24.56933;-0.001300057
D:\IMG\robocam_2018_09_19_18_49_58_978.jpg;0;1;0;3.444458;120.7383;101.0462;1.497705;24.54393;-0.003909591
D:\IMG\robocam_2018_09_19_18_49_59_058.jpg;0;1;0;3.492075;120.9946;101.1622;1.399431;24.50653;-0.001165428
D:\IMG\robocam_2018_09_19_18_49_59_148.jpg;0;1;0;3.559504;121.2558;101.2799;1.346101;24.4771;-0.001011254
D:\IMG\robocam_2018_09_19_18_49_59_221.jpg;0;1;0;3.610761;121.5216;101.3996;1.342239;24.44601;-0.001036499
D:\IMG\robocam_2018_09_19_18_49_59_314.jpg;0;1;0;3.661831;121.8601;101.5517;1.390619;24.40646;-0.001099824
D:\IMG\robocam_2018_09_19_18_49_59_401.jpg;0;1;0;3.725479;122.1353;101.6752;1.443152;24.37411;-0.001736219
D:\IMG\robocam_2018_09_19_18_49_59_482.jpg;0;1;0;3.775808;122.4135;101.7998;1.438191;24.34533;-0.001795358
D:\IMG\robocam_2018_09_19_18_49_59_560.jpg;0;1;0;3.828795;122.6955;101.926;1.433246;24.3219;-0.001169716
D:\IMG\robocam_2018_09_19_18_49_59_642.jpg;0;1;0;3.880072;122.9816;102.0537;1.441919;24.29193;-0.001285229
D:\IMG\robocam_2018_09_19_18_49_59_724.jpg;0;1;0;3.930751;123.2713;102.1829;1.444513;24.2633;-0.001793494
D:\IMG\robocam_2018_09_19_18_49_59_811.jpg;0;1;0;3.980836;123.5647;102.3137;1.449039;24.23536;-0.001804014
D:\IMG\robocam_2018_09_19_18_49_59_893.jpg;0;1;0;4.031082;123.8619;102.4459;1.45357;24.20667;-0.001828838
D:\IMG\robocam_2018_09_19_18_49_59_966.jpg;0;1;0;4.081114;124.1629;102.5795;1.457109;24.17751;-0.001840851
D:\IMG\robocam_2018_09_19_18_50_00_053.jpg;0;1;0;4.130929;124.4675;102.7147;1.463434;24.1486;-0.001361306
